0		0		4			clean sound pedal || booster || sounds good || feedback amp || slip sticker put underneath pedal || recomend ||
1		1		4			great guitar strings || affordable || recently || moved || rust quickly || never || humid || strings || quality year || weather || || ||
2		2		4			previous similar product || matter large chord chart ||
3		3		5			funny bunch well change pots caps pups axes amps day long || spend fortune || make tonal difference spending bucks || case point pure nickel strings || time || || time good guitar tone || || nope || things sound better || better mean warmer subtle feel fingers brain || youre wrapped strings || play blues classic rock pretty metal || make rig sound lot sweeter smoother musical general || tubes || tubes pure nickel gilmour strats || fit || nuts fender acoustic strings || normal electric strings fine || ernie ball slinkies years || fender pure nickels nice || theyre real deal || pure nickels run ten || sound pretty || break neither || youre mixed alloy || pure nickels dull || wait bit youll find harmonics faded || feel smoother nicer fingertips || set mean || subtle beautiful || main reason love playing volume || turned modded hot rod deluxe levels neighbors || louder drummer good chunk || || warmer tone || full chords || double stops felt sounded smoother harmonic warmth alloy string || electrical pure nickel good pups tubes simply || check tone legendary live hear mean || stuff || havent pure nickels || spend buck || give nickels || find youre convert seconds || ears love things cranked || jimi riffs sound feel pure nickel || digging rush licks night day || bluesy stuff pure nickels || hell bargain bucks ||
4		4		5			tune guitar online || adding item worth || accurate works great || people complaint tuner battery || mine || bought amazon || sort seller amazon || warranty item || start playing guitar || strongly recommend tuner || regret || ||
5		5		5			unfortunately aware slides sizes medium large || medium fits pinky finger fit index finger control || cannot fault slide choice ill pass son larger dunlop slide ||
6		6		5			fantastic pedal || considering price || prior pedal || mxr dyna comp electronics dynamics compressor || compared mxr simple || || compressors || plan fairly transparent compressor extra sustain output ||
7		7		2			fact || hosa cord lasted hours || step cord || purchase reason buy wireless system || youre run recommend || performer hard cords wouldnt recommend item || fair || recommend wireless performer || youll end saving money long haul ||
8		8		5			review mentioned || medium || time pay attention || weeks fingerpicks banjo || conclusion needed large size thumb mediums sat high comfort || suppose put hot water stretch read || set starting || ticket buy bunch sets figure comfortable || mind || give stars ||
9		9		5			good patch cable || fits brand pedals well flexible feeling cheap || pedaltrain pro problem || fact order sets rest pedals || highly recommended ||
10		10		5			soprano ukulele || fit fine || good strings work ||
11		11		3			good piece kit || problems removing occasional sticky string pegs || noisy string winding || cutter works perfectly ||
12		5		5			buy years ago || metal slide years glass slide sound tone || dunlop products || good quality || price amazon prime good buy ||
13		12		5			personally love daddario strings || takamine acoustic || great quality price ||
14		13		5			long time due sturdy construction || pieces || easy set seconds || great buy || mine ||
15		9		5			great price quality || nice connect pedals inches cable ||
16		14		5			item arrived time || item solid well designed || installation setup || item adjusted fit sizes guitars || buy guitars house ||
17		15		5			expect || proved worth || cable appears well constructed works fine || || decent feet long || locking button female end || happy ||
18		16		5			bought amp replace squier guitar || squier effects || clean channel overdrive button || couldnt afford bunch pedals || wanted effects cool sounds electric guitar || reviews amp amazon decided give || awesome || small amp || output plenty loud practicing home || runs batteries || effects better hoped || pro performs onstage drummer || intermediate level guitarist plays pleasure family || amp || modeling functions choose chorus || flanger || phaser || tremelo adding reverb delay || growing number decided pick guitar learn time || stacks kids || love amp ||
19		17		5			wonderful product price || tube preamps cause terrible humming low input gain || difficult set properly || running separate || adjust input output || care tube display led lights || bother || behringer makes great products prices ||
20		18		5			honestly sell cases price give free shipping || cheap quality cases gig bags cost || hard shell tolex covered case || sturdy || well padded plush black lining || good cases costing || cases made dreadnought guitars || bought || ibanez akg electric guitar fits perfectly || case brass latches keys || made china || days || wouldnt recommend || case offer ample protection safe storage instrument conditions || youll find better deal hard shell guitar case || fooled popular expensive better || favor save bucks buying great cases ||
21		19		5			bought replace sons previous guitar broken hard || initial clear made better standard || wood beautiful || metal parts sturdy durable || sounds good || although son beginner cannot judge good || note guitar cable || happy purchase better made expected ||
22		20		5			|| dunlop nylon picks entire professional music career || rock hard || acoustic || electric || bass || almost pick market break easily || dunlops nylon picks break || find thickness fits || youll find excellent string attack easily grip || rarely drop picks || times entire career || buy picks ||
23		21		5			thinking nanoweb strings || bit put high price cost strings buying comments reviewers tone coated strings noticeably || intrigued promise long life || taylor big baby bought || set nanowebs year sound old strings || review set gave chance finally sound || changed strings gibson gospel week ago || decided reference || nanowebs guild || well broken || solid spruce top guitars || gospel bit brighter sounding || pretty familiar sound guitars || sounded dull || notice || nanowebs noticed labeled light gauge || string youd find set medium gauge strings || compared || daddarios play || rest strings usual light gauges || turns light gauge || designed slightly tension better articulation high end || difference shouldnt require truss rod adjustment ahead installed || sound || unwound sound plain steel string || feel tiny bit stiffer || switch gospel || soundwise || sound good set guitar day || wouldnt call dull stretch imagination || coated strings wouldnt playing || theyre good sounding strings || long time || leaves question cost worth price uncoated strings || heres way youre heavy strummer || playing gigs night || youre breaking strings losing metal fatigue long theyd dull corrosion || youre finger picker || light strummer || coated string save lot money long run || youre hobby player guitar house || picks friends family || coated strings excellent choice || leave long sound good || ill update review find long || follow playing days || bought set gauge || top guitar top played guitars || sound great || guitars long term test ||
24		22		5			portable volt amp pretty loud tone || way louder volt fender mini twin speakers || dial gain way crunch full distortion || included volt compatible negative tip power adapters make adapter || amp deal ||
25		23		4			playing years perfectly fine guitar picks || special disappointing || long hands sweat lot youll fine || real assorted pack picks assorted colors || real useful assortment pack thicknesses || experiment types picks || assorted picks || colors ||
26		24		4			thing rocks || unlike cheap || behringer joyo products well made || inexpensive worth penny ||
27		25		5			pedal cause expensive || love music || play big concerts price good fun learn pedal ||
28		26		5			absolutely complaints cables || power fender squier strats || happy sound quality || plugs sturdy injection molded provide good strain relief || price worry solder quality || repair cost time cable || expensive metal cover hosa cables difference sound quality || great short connections mixers straight amp || specs || mono tip ||
29		27		5			hard beat quality monster cables || absolutely discernible loss tone cable love ||
30		28		5			nice smell || good maintaining wood neck guitar || best replacing strings || apply strings ||
31		29		5			pop filters work great block wind unwanted noises microphone || extra filter || blocks || simply amazing || worth extra bucks double filter || blow directly filters itll block wind microphone pick ||
32		30		5			overdrive pedals || expensive boss || long time pedals || back || pleasantly surprised find inexpensive pedal superior pedals || mean merely good relative price || mean || easily pedals paid || price pedal amazon || price || amazingly good deal || note pedal || deliver metal distortion || ride crazy train || metal distortion pedal || produces smooth overdrive || excellent || sounds good chorus || plug fender mustang amp turn amps chorus || result || singlecoil pickups || sound good || surprisingly || heavier punch humbucker || sounds great ||
33		31		5			strings telecasters tone wonderful || weeks turning color || bright convenient guitar ||
34		32		5			pack rocks quality feels sturdy shure mics cost sound karaoke vocals || bough sets cables ||
